"treat","age","edu","black","hisp","married","re74","re75","re78","u74","u75","nodegree","agesq","edusq","re74sq","re75sq","u74black","p_lpm","p_logit"
1,37,11,1,0,1,0,0,9930.0498046875,1,1,1,1369,121,0,0,1,0.676335827312252,0.676477753004217
1,30,12,1,0,0,0,0,24909.5,1,1,0,900,144,0,0,1,0.767156070688321,0.946140598189248
1,27,11,1,0,0,0,0,7506.14990234375,1,1,1,729,121,0,0,1,0.835217450948491,0.966926565683613
1,33,8,1,0,0,0,0,289.790008544922,1,1,1,1089,64,0,0,1,0.790117604440248,0.966270251806382
1,22,9,1,0,0,0,0,4056.48999023438,1,1,1,484,81,0,0,1,0.831513798966011,0.97233677012455
1,23,12,1,0,0,0,0,0,1,1,0,529,144,0,0,1,0.785931235557469,0.948103014288052
1,32,11,1,0,0,0,0,8472.16015625,1,1,1,1024,121,0,0,1,0.822455088378633,0.959188146999163
1,22,16,1,0,0,0,0,2164.02001953125,1,1,0,484,256,0,0,1,0.785538483406536,0.678704308962926
1,19,9,1,0,0,0,0,8173.91015625,1,1,1,361,81,0,0,1,0.840338461571086,0.966040923618041
1,21,13,1,0,0,0,0,17094.599609375,1,1,0,441,169,0,0,1,0.794467198919089,0.918273356151092
1,18,8,1,0,0,0,0,0,1,1,1,324,64,0,0,1,0.830998570067954,0.962628253040032
1,27,10,1,0,1,0,0,18739.900390625,1,1,1,729,100,0,0,1,0.693204541407958,0.843060842434113
1,17,7,1,0,0,0,0,3023.8798828125,1,1,1,289,49,0,0,1,0.81930557000147,0.954354849313558
1,19,10,1,0,0,0,0,3228.5,1,1,1,361,100,0,0,1,0.850310030011193,0.962846269596419
1,27,13,1,0,0,0,0,14581.900390625,1,1,0,729,169,0,0,1,0.777725730980286,0.929288498942143
1,23,10,1,0,0,0,0,7693.39990234375,1,1,1,529,100,0,0,1,0.838630275801698,0.971013840189867
1,40,12,1,0,0,0,0,10804.2998046875,1,1,0,1600,144,0,0,1,0.744009066973564,0.849635403065244
1,26,12,1,0,0,0,0,10747.400390625,1,1,0,676,144,0,0,1,0.777625348536021,0.950945360584752
1,23,11,1,0,0,0,0,0,1,1,1,529,121,0,0,1,0.846205504379817,0.965164820856942
1,24,11,1,0,0,0,0,1991.40002441406,1,1,1,576,121,0,0,1,0.843393644074032,0.966239816943597
1,18,10,1,0,0,0,0,11163.2001953125,1,1,1,324,100,0,0,1,0.853338046810156,0.95925962313711
1,29,11,1,0,1,0,0,9643,1,1,1,841,121,0,0,1,0.695545131062228,0.808775921761129
1,25,11,1,0,0,0,0,9897.0498046875,1,1,1,625,121,0,0,1,0.840625015066882,0.966878912327566
1,17,10,1,0,0,0,0,16218,1,1,1,289,100,0,0,1,0.856409294907754,0.954798450005779
1,24,11,1,0,0,0,0,995.700012207031,1,1,1,576,121,0,0,1,0.843393644074032,0.966239816943597
1,17,10,1,0,0,0,0,0,1,1,1,289,100,0,0,1,0.856409294907754,0.954798450005779
1,48,4,1,0,0,0,0,6551.58984375,1,1,1,2304,16,0,0,1,0.685528649177289,0.407849742990528
1,25,11,1,0,1,0,0,1574.42004394531,1,1,1,625,121,0,0,1,0.706187334104469,0.816054362643275
1,20,12,1,0,0,0,0,0,1,1,0,400,144,0,0,1,0.794626204266637,0.938872138142091
1,25,12,1,0,0,0,0,3191.75,1,1,0,625,144,0,0,1,0.780350746244534,0.950613686720192
1,42,14,1,0,0,0,0,20505.900390625,1,1,0,1764,196,0,0,1,0.743067199660538,0.62006071494943
1,25,5,1,0,0,0,0,6181.8798828125,1,1,1,625,25,0,0,1,0.759228545668351,0.955363911178557
1,23,12,1,0,1,0,0,5911.5498046875,1,1,0,529,144,0,0,1,0.651493554595055,0.735194610220041
1,46,8,1,0,1,0,0,3094.15991210938,1,1,1,2116,64,0,0,1,0.628117849618831,0.321766655825072
1,24,10,1,0,0,0,0,0,1,1,1,576,100,0,0,1,0.835818415495913,0.971913590992062
1,21,12,1,0,0,0,0,1254.57995605469,1,1,0,441,144,0,0,1,0.791684650064945,0.942796078942841
1,17,8,1,0,0,0,0,8061.490234375,1,1,1,289,64,0,0,1,0.834069818165553,0.958520002600498
1,20,11,1,0,0,0,0,3972.5400390625,1,1,1,400,121,0,0,1,0.854900473088985,0.958836956633463
1,25,11,1,0,1,0,0,0,1,1,1,625,121,0,0,1,0.706187334104469,0.816054362643275
1,17,8,1,0,0,0,0,0,1,1,1,289,64,0,0,1,0.834069818165553,0.958520002600498
1,17,9,1,0,0,0,0,0,1,1,1,289,81,0,0,1,0.846437726467647,0.958655379700586
1,25,5,1,0,0,0,0,12187.400390625,1,1,1,625,25,0,0,1,0.759228545668351,0.955363911178557
1,23,12,1,0,0,0,0,4843.18017578125,1,1,0,529,144,0,0,1,0.785931235557469,0.948103014288052
1,28,8,1,0,0,0,0,0,1,1,1,784,64,0,0,1,0.802663810516927,0.974338563139239
1,31,11,1,0,1,0,0,8087.490234375,1,1,1,961,121,0,0,1,0.69048341733292,0.792831665623392
1,18,11,1,0,0,0,0,0,1,1,1,324,121,0,0,1,0.860913275388275,0.951158063622477
1,25,12,1,0,0,0,0,2348.96997070312,1,1,0,625,144,0,0,1,0.780350746244534,0.950613686720192
1,30,11,1,0,1,0,0,590.781982421875,1,1,1,900,121,0,0,1,0.692992658548256,0.801933122059933
1,17,10,1,0,0,0,0,0,1,1,1,289,100,0,0,1,0.856409294907754,0.954798450005779
1,37,9,1,0,0,0,0,1067.51000976562,1,1,1,1369,81,0,0,1,0.79322671125644,0.948081518384623
1,41,4,1,0,1,0,0,7284.990234375,1,1,1,1681,16,0,0,1,0.56441898945594,0.349932863476444
1,42,14,1,0,1,0,0,13167.5,1,1,0,1764,196,0,0,1,0.608629518698125,0.198729107746331
1,17,8,1,0,0,0,0,0,1,1,1,289,64,0,0,1,0.834069818165553,0.958520002600498
1,29,8,1,0,0,0,0,1923.93994140625,1,1,1,841,64,0,0,1,0.80006810670432,0.973552747215669
1,35,10,1,0,0,0,0,4666.240234375,1,1,1,1225,100,0,0,1,0.807741217842227,0.955373334732284
1,27,11,1,0,0,0,0,549.297973632812,1,1,1,729,121,0,0,1,0.835217450948491,0.966926565683613
1,29,4,1,0,0,0,0,762.914978027344,1,1,1,841,16,0,0,1,0.726633074876063,0.932506945849626
1,28,9,1,0,0,0,0,10694.2998046875,1,1,1,784,81,0,0,1,0.815031718819022,0.974423691207262
1,27,11,1,0,0,0,0,0,1,1,1,729,121,0,0,1,0.835217450948491,0.966926565683613
1,45,5,1,0,1,0,0,8546.7197265625,1,1,1,2025,25,0,0,1,0.578496857276422,0.251796739809898
1,29,13,1,0,0,0,0,7479.66015625,1,1,0,841,169,0,0,1,0.772491092056436,0.925982733120348
1,27,9,1,0,0,0,0,0,1,1,1,729,81,0,0,1,0.817670653930265,0.974875437961157
1,46,13,1,0,0,0,0,647.205017089844,1,1,0,2116,169,0,0,1,0.73497851593336,0.514784457550244
1,18,6,1,0,0,0,0,0,1,1,1,324,36,0,0,1,0.799073733877801,0.950359805952876
1,25,12,1,0,0,0,0,11965.7998046875,1,1,0,625,144,0,0,1,0.780350746244534,0.950613686720192
1,28,15,1,0,0,0,0,9598.5400390625,1,1,0,784,225,0,0,1,0.773462873991367,0.817784659282033
1,22,12,1,0,0,0,0,18678.099609375,1,1,0,484,144,0,0,1,0.788786327161889,0.945836264353407
1,21,9,1,0,0,0,0,0,1,1,1,441,81,0,0,1,0.834412121869067,0.970738027251061
1,40,11,1,0,0,0,0,23005.599609375,1,1,1,1600,121,0,0,1,0.804283335795912,0.895501669610237
1,22,11,1,0,0,0,0,6456.7001953125,1,1,1,484,121,0,0,1,0.849060595984237,0.963614694933213
1,25,12,1,0,0,0,0,0,1,1,0,625,144,0,0,1,0.780350746244534,0.950613686720192
1,18,12,1,0,0,0,0,2321.11010742188,1,1,0,324,144,0,0,1,0.800639006565927,0.927749485528508
1,27,13,1,0,0,0,0,0,1,1,0,729,169,0,0,1,0.777725730980286,0.929288498942143
1,27,8,1,0,0,0,0,0,1,1,1,729,64,0,0,1,0.80530274562817,0.974791774587201
1,38,11,1,0,0,0,0,0,1,1,1,1444,121,0,0,1,0.808566886149779,0.922481647686578
1,26,11,1,0,0,0,0,17231,1,1,1,676,121,0,0,1,0.837899617358369,0.967105130431274
1,25,8,1,0,0,0,0,0,1,1,1,625,64,0,0,1,0.810710309746562,0.974755157826236
1,31,11,1,0,1,0,0,14509.900390625,1,1,1,961,121,0,0,1,0.69048341733292,0.792831665623392
1,17,10,1,0,0,0,0,0,1,1,1,289,100,0,0,1,0.856409294907754,0.954798450005779
1,25,11,1,0,0,0,0,0,1,1,1,625,121,0,0,1,0.840625015066882,0.966878912327566
1,21,12,1,0,0,0,0,9983.7802734375,1,1,0,441,144,0,0,1,0.791684650064945,0.942796078942841
1,44,11,1,0,0,0,0,0,1,1,1,1936,121,0,0,1,0.796235010671805,0.792375581684596
1,18,9,1,0,0,0,0,4482.85009765625,1,1,1,324,81,0,0,1,0.843366478370049,0.962750743209298
1,42,12,1,0,0,0,0,2456.14990234375,1,1,0,1764,144,0,0,1,0.739898441814239,0.794564434723362
1,25,10,1,0,0,0,0,0,1,1,1,625,100,0,0,1,0.833049786488763,0.972448341930903
1,24,10,1,0,0,0,0,0,1,1,1,576,100,0,0,1,0.835818415495913,0.971913590992062
1,26,10,1,0,0,0,0,9265.7900390625,1,1,1,676,100,0,0,1,0.83032438878025,0.972637597153628
1,25,11,1,0,0,0,0,485.230010986328,1,1,1,625,121,0,0,1,0.840625015066882,0.966878912327566
1,18,11,1,0,0,0,0,4814.6298828125,1,1,1,324,121,0,0,1,0.860913275388275,0.951158063622477
1,19,11,1,0,0,0,0,7458.10986328125,1,1,1,361,121,0,0,1,0.857885258589312,0.955424801467067
1,43,9,1,0,0,0,0,0,1,1,1,1849,81,0,0,1,0.780635447986652,0.8633776889199
1,27,13,1,0,0,0,0,34099.30078125,1,1,0,729,169,0,0,1,0.777725730980286,0.929288498942143
1,17,9,1,0,0,0,0,1953.27001953125,1,1,1,289,81,0,0,1,0.846437726467647,0.958655379700586
1,30,11,1,0,0,0,0,0,1,1,1,900,121,0,0,1,0.827430339510669,0.963822956551505
1,26,10,1,0,1,2028,0,0,0,1,1,676,100,4112784,0,0,0.123951143050604,0.342335543462782
1,20,9,1,0,0,6083.990234375,0,8881.669921875,0,1,1,400,81,37014937.1719704,0,0,0.262655043109459,0.677972232556176
1,20,12,1,0,0,989.268005371094,165.207992553711,0,0,0,0,400,144,978651.186450902,27293.680803627,0,0.22310974243596,0.612426996300852
1,18,11,1,0,0,858.254028320312,214.563995361328,929.883972167969,0,0,1,324,121,736599.977128044,46037.708105416,0,0.289381744943506,0.667597005408597
1,27,12,1,0,1,3670.8701171875,334.049011230469,0,0,0,0,729,144,13475287.4172602,111588.741904054,0,0.0665145781521669,0.184329553651435
1,27,12,1,0,0,2143.40991210938,357.950012207031,22163.30078125,0,0,0,729,144,4594206.05132872,128128.211239014,0,0.202017588032419,0.629618389072869
1,20,12,1,0,0,0,377.569000244141,1652.64001464844,1,0,0,400,144,0,142558.34994536,1,0.793676582200706,0.933995045740707
1,19,10,1,0,0,0,385.273986816406,8124.72021484375,1,0,1,361,100,0,148436.044917408,1,0.849341093065948,0.95973548280129
