treat,age,edu,black,hisp,married,re74,re75,re78,u74,u75,nodegree
1,37,11,1,0,1,0,0,9930.0498046875,1,1,1
1,30,12,1,0,0,0,0,24909.5,1,1,0
1,27,11,1,0,0,0,0,7506.14990234375,1,1,1
1,33,8,1,0,0,0,0,289.7900085449219,1,1,1
1,22,9,1,0,0,0,0,4056.489990234375,1,1,1
1,23,12,1,0,0,0,0,0,1,1,0
1,32,11,1,0,0,0,0,8472.16015625,1,1,1
1,22,16,1,0,0,0,0,2164.02001953125,1,1,0
1,19,9,1,0,0,0,0,8173.91015625,1,1,1
1,21,13,1,0,0,0,0,17094.599609375,1,1,0
1,18,8,1,0,0,0,0,0,1,1,1
1,27,10,1,0,1,0,0,18739.900390625,1,1,1
1,17,7,1,0,0,0,0,3023.8798828125,1,1,1
1,19,10,1,0,0,0,0,3228.5,1,1,1
1,27,13,1,0,0,0,0,14581.900390625,1,1,0
1,23,10,1,0,0,0,0,7693.39990234375,1,1,1
1,40,12,1,0,0,0,0,10804.2998046875,1,1,0
1,26,12,1,0,0,0,0,10747.400390625,1,1,0
1,23,11,1,0,0,0,0,0,1,1,1
1,24,11,1,0,0,0,0,1991.4000244140625,1,1,1
1,18,10,1,0,0,0,0,11163.2001953125,1,1,1
1,29,11,1,0,1,0,0,9643,1,1,1
1,25,11,1,0,0,0,0,9897.0498046875,1,1,1
1,17,10,1,0,0,0,0,16218,1,1,1
1,24,11,1,0,0,0,0,995.70001220703125,1,1,1
1,17,10,1,0,0,0,0,0,1,1,1
1,48,4,1,0,0,0,0,6551.58984375,1,1,1
1,25,11,1,0,1,0,0,1574.4200439453125,1,1,1
1,20,12,1,0,0,0,0,0,1,1,0
1,25,12,1,0,0,0,0,3191.75,1,1,0
1,42,14,1,0,0,0,0,20505.900390625,1,1,0
1,25,5,1,0,0,0,0,6181.8798828125,1,1,1
1,23,12,1,0,1,0,0,5911.5498046875,1,1,0
1,46,8,1,0,1,0,0,3094.159912109375,1,1,1
1,24,10,1,0,0,0,0,0,1,1,1
1,21,12,1,0,0,0,0,1254.5799560546875,1,1,0
1,17,8,1,0,0,0,0,8061.490234375,1,1,1
1,20,11,1,0,0,0,0,3972.5400390625,1,1,1
1,25,11,1,0,1,0,0,0,1,1,1
1,17,8,1,0,0,0,0,0,1,1,1
1,17,9,1,0,0,0,0,0,1,1,1
1,25,5,1,0,0,0,0,12187.400390625,1,1,1
1,23,12,1,0,0,0,0,4843.18017578125,1,1,0
1,28,8,1,0,0,0,0,0,1,1,1
1,31,11,1,0,1,0,0,8087.490234375,1,1,1
1,18,11,1,0,0,0,0,0,1,1,1
1,25,12,1,0,0,0,0,2348.969970703125,1,1,0
1,30,11,1,0,1,0,0,590.781982421875,1,1,1
1,17,10,1,0,0,0,0,0,1,1,1
1,37,9,1,0,0,0,0,1067.510009765625,1,1,1
1,41,4,1,0,1,0,0,7284.990234375,1,1,1
1,42,14,1,0,1,0,0,13167.5,1,1,0
1,17,8,1,0,0,0,0,0,1,1,1
1,29,8,1,0,0,0,0,1923.93994140625,1,1,1
1,35,10,1,0,0,0,0,4666.240234375,1,1,1
1,27,11,1,0,0,0,0,549.2979736328125,1,1,1
1,29,4,1,0,0,0,0,762.91497802734375,1,1,1
1,28,9,1,0,0,0,0,10694.2998046875,1,1,1
1,27,11,1,0,0,0,0,0,1,1,1
1,45,5,1,0,1,0,0,8546.7197265625,1,1,1
1,29,13,1,0,0,0,0,7479.66015625,1,1,0
1,27,9,1,0,0,0,0,0,1,1,1
1,46,13,1,0,0,0,0,647.20501708984375,1,1,0
1,18,6,1,0,0,0,0,0,1,1,1
1,25,12,1,0,0,0,0,11965.7998046875,1,1,0
1,28,15,1,0,0,0,0,9598.5400390625,1,1,0
1,22,12,1,0,0,0,0,18678.099609375,1,1,0
1,21,9,1,0,0,0,0,0,1,1,1
1,40,11,1,0,0,0,0,23005.599609375,1,1,1
1,22,11,1,0,0,0,0,6456.7001953125,1,1,1
1,25,12,1,0,0,0,0,0,1,1,0
1,18,12,1,0,0,0,0,2321.110107421875,1,1,0
1,27,13,1,0,0,0,0,0,1,1,0
1,27,8,1,0,0,0,0,0,1,1,1
1,38,11,1,0,0,0,0,0,1,1,1
1,26,11,1,0,0,0,0,17231,1,1,1
1,25,8,1,0,0,0,0,0,1,1,1
1,31,11,1,0,1,0,0,14509.900390625,1,1,1
1,17,10,1,0,0,0,0,0,1,1,1
1,25,11,1,0,0,0,0,0,1,1,1
1,21,12,1,0,0,0,0,9983.7802734375,1,1,0
1,44,11,1,0,0,0,0,0,1,1,1
1,18,9,1,0,0,0,0,4482.85009765625,1,1,1
1,42,12,1,0,0,0,0,2456.14990234375,1,1,0
1,25,10,1,0,0,0,0,0,1,1,1
1,24,10,1,0,0,0,0,0,1,1,1
1,26,10,1,0,0,0,0,9265.7900390625,1,1,1
1,25,11,1,0,0,0,0,485.2300109863281,1,1,1
1,18,11,1,0,0,0,0,4814.6298828125,1,1,1
1,19,11,1,0,0,0,0,7458.10986328125,1,1,1
1,43,9,1,0,0,0,0,0,1,1,1
1,27,13,1,0,0,0,0,34099.30078125,1,1,0
